,Iteration,Best_SP
0,0,196560
1,1,196560
2,2,191760
3,3,191760
4,4,186960
5,5,182160
6,6,182160
7,7,182160
8,8,182160
9,9,182160
10,10,182160
11,11,182160
12,12,182160
13,13,177360
14,14,177360
15,15,177360
16,16,177360
17,17,170640
18,18,170640
19,19,170640
20,20,170640
21,21,170640
22,22,170640
23,23,170640
24,24,170640
25,25,170640
26,26,170640
27,27,169740
28,28,169740
29,29,169740
30,30,169740
31,31,169740
32,32,164940
33,33,164940
34,34,160140
35,35,160140
36,36,160140
37,37,140940
38,38,140940
39,39,140940
40,40,139080
41,41,139080
42,42,139080
43,43,139080
44,44,139080
45,45,139080
46,46,139080
47,47,139080
48,48,139080
49,49,139080
50,50,134280
51,51,134280
52,52,134280
53,53,134280
54,54,134280
55,55,134280
56,56,134280
57,57,134280
58,58,134280
59,59,134280
60,60,134280
61,61,134280
62,62,134280
63,63,134280
64,64,134280
65,65,134280
66,66,134280
67,67,134280
68,68,134280
69,69,134280
70,70,134280
71,71,134280
72,72,134280
73,73,134280
74,74,134280
75,75,134280
76,76,134280
77,77,134280
78,78,134280
79,79,134280
80,80,134280
81,81,134280
82,82,134280
83,83,134280
84,84,134280
85,85,134280
86,86,134280
87,87,134280
88,88,134280
89,89,134280
90,90,134280
91,91,134280
92,92,134280
93,93,134280
94,94,134280
95,95,134280
96,96,134280
97,97,134280
98,98,134280
99,99,134280
100,100,134280
101,101,134280
102,102,134280
103,103,134280
104,104,134280
105,105,134280
106,106,134280
107,107,134280
108,108,134280
109,109,134280
110,110,134280
111,111,134280
112,112,134280
113,113,134280
114,114,134280
115,115,134280
116,116,134280
117,117,134280
118,118,134280
119,119,134280
120,120,134280
121,121,134280
122,122,134280
123,123,134280
124,124,134280
125,125,134280
126,126,134280
127,127,134280
128,128,134280
129,129,134280
130,130,134280
131,131,134280
132,132,134280
133,133,134280
134,134,134280
135,135,134280
136,136,134280
137,137,134280
138,138,134280
139,139,134280
140,140,134280
141,141,134280
142,142,134280
143,143,134280
144,144,134280
145,145,134280
146,146,134280
147,147,134280
148,148,134280
149,149,134280
150,150,134280
151,151,134280
152,152,134280
153,153,134280
154,154,134280
155,155,134280
156,156,134280
157,157,134280
158,158,134280
159,159,134280
160,160,134280
161,161,134280
162,162,134280
163,163,134280
164,164,134280
165,165,134280
166,166,134280
167,167,134280
168,168,134280
169,169,134280
170,170,134280
171,171,134280
172,172,134280
173,173,134280
174,174,134280
175,175,134280
176,176,134280
177,177,134280
178,178,134280
179,179,134280
180,180,134280
181,181,134280
182,182,134280
183,183,134280
184,184,134280
185,185,134280
186,186,134280
187,187,134280
188,188,134280
189,189,134280
190,190,134280
191,191,134280
192,192,134280
193,193,134280
194,194,134280
195,195,134280
196,196,134280
197,197,134280
198,198,134280
199,199,134280
200,200,134280
201,201,134280
202,202,134280
203,203,134280
204,204,134280
205,205,134280
206,206,134280
207,207,134280
208,208,134280
209,209,134280
210,210,134280
211,211,134280
212,212,134280
213,213,134280
214,214,134280
215,215,134280
216,216,134280
217,217,134280
218,218,134280
219,219,134280
220,220,134280
221,221,134280
222,222,134280
223,223,134280
224,224,134280
225,225,134280
226,226,134280
227,227,134280
228,228,134280
229,229,134280
230,230,134280
231,231,134280
232,232,134280
233,233,134280
234,234,134280
235,235,134280
236,236,134280
237,237,134280
238,238,134280
239,239,134280
240,240,134280
241,241,134280
242,242,134280
243,243,134280
244,244,134280
245,245,134280
246,246,134280
247,247,134280
248,248,134280
249,249,134280
250,250,134280
251,251,134280
252,252,134280
253,253,134280
254,254,134280
255,255,134280
256,256,134280
257,257,134280
258,258,134280
259,259,134280
260,260,134280
261,261,134280
262,262,134280
263,263,134280
264,264,134280
265,265,134280
266,266,134280
267,267,134280
268,268,134280
269,269,134280
270,270,134280
271,271,134280
272,272,134280
273,273,134280
274,274,134280
275,275,134280
276,276,134280
277,277,134280
278,278,134280
279,279,134280
280,280,134280
281,281,134280
282,282,134280
283,283,134280
284,284,134280
285,285,134280
286,286,134280
287,287,134280
288,288,134280
289,289,134280
290,290,134280
291,291,134280
292,292,134280
293,293,134280
294,294,134280
295,295,134280
296,296,134280
297,297,134280
298,298,134280
299,299,134280
300,300,134280
301,301,134280
302,302,134280
303,303,134280
304,304,134280
305,305,134280
306,306,134280
307,307,134280
308,308,134280
309,309,134280
310,310,134280
311,311,134280
312,312,134280
313,313,134280
314,314,134280
315,315,134280
316,316,134280
317,317,134280
318,318,134280
319,319,134280
320,320,134280
321,321,134280
322,322,134280
323,323,134280
324,324,134280
325,325,134280
326,326,134280
327,327,134280
328,328,134280
329,329,134280
330,330,134280
331,331,134280
332,332,134280
333,333,134280
334,334,134280
335,335,134280
336,336,134280
337,337,134280
338,338,134280
339,339,134280
340,340,134280
341,341,134280
342,342,134280
343,343,134280
344,344,134280
345,345,134280
346,346,134280
347,347,134280
348,348,134280
349,349,134280
350,350,134280
351,351,134280
352,352,134280
353,353,134280
354,354,134280
355,355,134280
356,356,134280
357,357,134280
358,358,134280
359,359,134280
360,360,134280
361,361,134280
362,362,134280
363,363,134280
364,364,134280
365,365,134280
366,366,134280
367,367,134280
368,368,134280
369,369,134280
370,370,134280
371,371,134280
372,372,134280
373,373,134280
374,374,134280
375,375,134280
376,376,134280
377,377,134280
378,378,134280
379,379,134280
380,380,134280
381,381,134280
382,382,134280
383,383,134280
384,384,134280
385,385,134280
386,386,134280
387,387,134280
388,388,134280
389,389,134280
390,390,134280
391,391,134280
392,392,134280
393,393,134280
394,394,134280
395,395,134280
396,396,134280
397,397,134280
398,398,134280
399,399,134280
400,400,134280
401,401,134280
402,402,134280
403,403,134280
404,404,134280
405,405,134280
406,406,134280
407,407,134280
408,408,134280
409,409,134280
410,410,134280
411,411,134280
412,412,134280
413,413,134280
414,414,134280
415,415,134280
416,416,134280
417,417,134280
418,418,134280
419,419,134280
420,420,134280
421,421,134280
422,422,134280
423,423,134280
424,424,134280
425,425,134280
426,426,134280
427,427,134280
428,428,134280
429,429,134280
430,430,134280
431,431,134280
432,432,134280
433,433,134280
434,434,134280
435,435,134280
436,436,134280
437,437,134280
438,438,134280
439,439,134280
440,440,134280
441,441,134280
442,442,134280
443,443,134280
444,444,134280
445,445,134280
446,446,134280
447,447,134280
448,448,134280
449,449,134280
450,450,134280
451,451,134280
452,452,134280
453,453,134280
454,454,134280
455,455,134280
456,456,134280
457,457,134280
458,458,134280
459,459,134280
460,460,134280
461,461,134280
462,462,134280
463,463,134280
464,464,134280
465,465,134280
466,466,134280
467,467,134280
468,468,134280
469,469,134280
470,470,134280
471,471,134280
472,472,134280
473,473,134280
474,474,134280
475,475,134280
476,476,134280
477,477,134280
478,478,134280
479,479,134280
480,480,134280
481,481,134280
482,482,134280
483,483,134280
484,484,134280
485,485,134280
486,486,134280
487,487,134280
488,488,134280
489,489,134280
490,490,134280
491,491,134280
492,492,134280
493,493,134280
494,494,134280
495,495,134280
496,496,134280
497,497,134280
498,498,134280
499,499,134280
500,500,134280
501,501,134280
502,502,134280
503,503,134280
504,504,134280
505,505,134280
506,506,134280
507,507,134280
508,508,134280
509,509,134280
510,510,134280
511,511,134280
512,512,134280
513,513,134280
514,514,134280
515,515,134280
516,516,134280
517,517,134280
518,518,134280
519,519,134280
520,520,134280
521,521,134280
522,522,134280
523,523,134280
524,524,134280
525,525,134280
526,526,134280
527,527,134280
528,528,134280
529,529,134280
530,530,134280
531,531,134280
532,532,134280
533,533,134280
534,534,134280
535,535,134280
536,536,134280
537,537,134280
538,538,134280
539,539,134280
540,540,134280
541,541,134280
542,542,134280
543,543,134280
544,544,134280
545,545,134280
546,546,134280
547,547,134280
548,548,134280
549,549,134280
550,550,134280
551,551,134280
552,552,134280
553,553,134280
554,554,134280
555,555,134280
556,556,134280
557,557,134280
558,558,134280
559,559,134280
560,560,134280
561,561,134280
562,562,134280
563,563,134280
564,564,134280
565,565,134280
566,566,134280
567,567,134280
568,568,134280
569,569,134280
570,570,134280
571,571,134280
572,572,134280
573,573,134280
574,574,134280
575,575,134280
576,576,134280
577,577,134280
578,578,134280
579,579,134280
580,580,134280
581,581,134280
582,582,134280
583,583,134280
584,584,134280
585,585,134280
586,586,134280
587,587,134280
588,588,134280
589,589,134280
590,590,134280
591,591,134280
592,592,134280
593,593,134280
594,594,134280
595,595,134280
596,596,134280
597,597,134280
598,598,134280
599,599,134280
600,600,134280
601,601,134280
602,602,134280
603,603,134280
604,604,134280
605,605,134280
606,606,134280
607,607,134280
608,608,134280
609,609,134280
610,610,134280
611,611,134280
612,612,134280
613,613,134280
614,614,134280
615,615,134280
616,616,134280
617,617,134280
