,Iteration,Best_SP
0,0,189900
1,57,169680
2,62,169680
3,67,169680
4,76,169680
5,83,169680
6,89,169680
7,97,169680
8,104,169680
9,117,169680
10,123,169680
11,131,169680
12,139,169680
13,145,169680
14,153,169680
15,163,169680
16,172,169680
17,181,169680
18,195,161040
19,200,151440
20,205,151440
21,213,151440
22,218,151440
23,224,151440
24,229,151440
25,245,151440
26,250,151440
27,260,151440
28,265,148560
29,270,148560
30,275,148560
31,280,148560
32,285,148560
33,294,148560
34,300,148560
35,305,148560
36,311,148560
37,316,148560
38,321,148560
39,330,148560
40,339,148560
41,344,148560
42,349,148560
43,355,148560
44,361,148560
45,368,148560
46,375,148560
47,383,148560
48,388,148560
49,396,148560
50,403,148560
51,408,148560
52,415,148560
53,420,148560
54,425,148560
55,449,148560
56,456,148560
57,464,148560
58,469,148560
59,480,148560
60,485,148560
61,490,148560
62,501,148560
63,506,148560
64,511,148560
65,516,148560
66,525,148560
67,538,148560
68,543,148560
69,549,148560
70,560,148560
71,565,148560
72,574,148560
73,579,148560
74,584,148560
75,589,148560
76,606,148560
77,612,148560
78,618,148560
79,624,148560
80,634,148560
81,640,148560
82,649,148560
83,654,148560
84,659,148560
85,668,148560
86,673,148560
87,678,148560
88,683,148560
89,694,148560
90,699,148560
91,706,148560
92,711,148560
93,718,148560
94,723,148560
95,732,148560
96,737,148560
97,746,148560
98,752,148560
99,759,148560
100,765,148560
101,770,148560
102,780,148560
103,785,148560
104,793,148560
105,798,148560
106,811,148560
107,816,148560
108,821,148560
109,828,148560
110,834,148560
111,839,148560
112,844,148560
113,850,148560
114,855,148560
115,863,148560
116,868,148560
117,874,148560
118,879,148560
119,887,148560
120,896,148560
121,901,148560
122,915,148560
123,921,148560
124,929,148560
125,941,148560
126,947,148560
127,952,148560
128,958,148560
129,968,148560
130,973,148560
131,979,148560
132,985,148560
133,990,148560
134,1002,148560
135,1014,148560
136,1019,148560
137,1026,148560
138,1033,148560
139,1038,148560
140,1045,148560
141,1051,148560
142,1064,148560
143,1071,148560
144,1076,148560
145,1082,148560
146,1087,148560
147,1093,148560
148,1099,148560
149,1105,148560
150,1110,148560
151,1118,148560
152,1124,148560
153,1133,148560
154,1138,148560
155,1151,148560
156,1160,148560
157,1165,148560
158,1173,148560
159,1181,148560
160,1187,148560
161,1196,148560
162,1206,148560
163,1215,148560
164,1220,148560
165,1230,148560
166,1236,148560
167,1242,148560
168,1251,148560
169,1256,148560
170,1261,148560
171,1268,148560
172,1273,148560
173,1279,148560
174,1284,148560
175,1289,148560
176,1302,148560
177,1311,148560
178,1316,148560
179,1321,148560
180,1328,148560
181,1333,148560
182,1339,148560
183,1344,148560
184,1349,148560
185,1358,148560
186,1363,148560
187,1371,148560
188,1383,148560
189,1388,148560
190,1393,148560
191,1411,148560
192,1416,148560
193,1426,148560
194,1432,148560
195,1441,148560
196,1446,148560
197,1454,148560
198,1461,148560
199,1476,148560
200,1481,148560
201,1486,148560
202,1496,148560
203,1501,148560
204,1510,148560
205,1516,148560
206,1521,148560
207,1526,148560
208,1534,148560
209,1544,148560
210,1555,148560
211,1564,148560
212,1570,148560
213,1577,148560
214,1583,148560
215,1596,148560
216,1606,148560
217,1611,148560
218,1616,148560
219,1623,148560
220,1628,148560
221,1634,148560
222,1641,148560
223,1646,148560
224,1656,148560
225,1667,148560
226,1675,148560
227,1680,148560
228,1693,148560
229,1698,148560
230,1708,148560
231,1713,148560
232,1720,148560
233,1729,148560
234,1740,148560
235,1752,148560
236,1757,148560
237,1772,148560
238,1777,148560
239,1782,148560
240,1795,148560
241,1800,148560
242,1805,148560
243,1812,148560
244,1817,148560
245,1822,148560
246,1830,148560
247,1835,148560
248,1840,148560
249,1846,148560
250,1851,148560
251,1869,148560
252,1879,148560
253,1888,148560
254,1893,148560
255,1898,148560
256,1903,148560
257,1909,148560
258,1914,148560
259,1919,148560
260,1931,148560
261,1936,148560
262,1942,148560
263,1950,148560
264,1958,148560
265,1963,148560
266,1971,148560
267,1976,148560
268,1981,148560
269,1987,148560
270,1998,148560
271,2003,148560
272,2009,148560
273,2014,148560
274,2027,148560
275,2032,148560
276,2037,148560
277,2055,148560
278,2061,148560
279,2066,148560
280,2071,148560
281,2077,148560
282,2088,148560
283,2093,148560
284,2099,148560
285,2104,148560
286,2109,148560
287,2120,148560
288,2126,148560
289,2138,148560
290,2143,148560
291,2153,148560
292,2158,148560
293,2165,148560
294,2172,148560
295,2177,148560
296,2186,148560
297,2191,148560
298,2196,148560
299,2202,148560
300,2207,148560
301,2212,148560
302,2226,148560
303,2232,148560
304,2238,148560
305,2243,148560
306,2248,148560
307,2256,148560
308,2273,148560
309,2280,148560
310,2288,148560
311,2295,148560
312,2312,148560
313,2318,148560
314,2323,148560
315,2332,148560
316,2337,148560
317,2352,148560
318,2361,148560
319,2370,148560
320,2376,148560
321,2382,148560
322,2388,148560
323,2393,148560
324,2405,148560
325,2410,148560
326,2418,148560
327,2429,148560
328,2435,148560
329,2440,148560
330,2450,148560
331,2459,148560
332,2464,148560
333,2472,148560
334,2480,148560
335,2488,148560
336,2493,148560
337,2498,148560
338,2506,148560
339,2512,148560
340,2526,148560
341,2532,148560
342,2542,148560
343,2550,148560
344,2555,148560
345,2562,148560
346,2569,148560
347,2574,148560
348,2584,148560
349,2597,148560
350,2605,148560
351,2610,148560
352,2615,148560
353,2620,148560
354,2631,148560
355,2638,148560
356,2643,148560
357,2648,148560
358,2655,148560
359,2663,148560
360,2669,148560
361,2674,148560
362,2682,148560
363,2687,148560
364,2692,148560
365,2697,148560
366,2703,148560
367,2713,148560
368,2718,148560
369,2723,148560
370,2728,148560
371,2734,148560
372,2745,148560
373,2753,148560
374,2758,148560
375,2768,148560
376,2774,148560
377,2780,148560
378,2785,148560
379,2790,148560
380,2797,148560
381,2802,148560
382,2811,148560
383,2818,148560
384,2823,148560
385,2830,148560
386,2836,148560
387,2841,148560
388,2846,148560
389,2855,148560
390,2861,148560
391,2870,148560
392,2878,148560
393,2890,148560
394,2895,148560
395,2901,148560
396,2907,148560
397,2915,148560
398,2921,148560
399,2926,148560
400,2931,148560
401,2936,148560
402,2941,148560
403,2946,148560
404,2958,148560
405,2963,148560
406,2974,148560
407,2979,148560
408,2997,148560
409,3006,148560
410,3014,148560
411,3019,148560
412,3026,148560
413,3031,148560
414,3039,148560
415,3044,148560
416,3049,148560
417,3055,148560
418,3063,148560
419,3068,148560
420,3075,148560
421,3080,148560
422,3085,148560
423,3095,148560
424,3101,148560
425,3106,148560
426,3111,148560
427,3124,148560
428,3134,148560
429,3139,148560
430,3144,148560
431,3149,148560
432,3154,148560
433,3164,148560
434,3169,148560
435,3174,148560
436,3179,148560
437,3184,148560
438,3189,148560
439,3194,148560
440,3203,148560
441,3217,148560
442,3225,148560
443,3230,148560
444,3241,148560
445,3246,148560
446,3255,148560
447,3265,148560
448,3271,141840
449,3276,141840
450,3285,141840
451,3291,141840
452,3304,141840
453,3313,141840
454,3334,141840
455,3340,141840
456,3348,141840
457,3353,141840
458,3362,141840
459,3367,141840
460,3372,141840
461,3377,141840
462,3383,141840
463,3389,141840
464,3395,141840
465,3400,141840
466,3405,141840
467,3415,141840
468,3425,141840
469,3433,141840
